pdv,cupom,pco,desconto,pcotot,descontotot,qtd,data_ins,hora,ts_referencia,data,produto,cod_loja
14790,73853,"2,71","2,19","2,54","2,64",1.000,2019-12-23 21:31:02.760,21:08:23,2021-01-22 16:04:32.195,2019-12-23,3113732,83
14795,128390,"12,030000000000001","0,0","11,86","0,0",1.000,2019-12-23 10:53:02.037,10:20:46,2021-01-22 16:04:32.195,2019-12-23,3113198,100
15101,1754,"11,030000000000001","0,0","10,86","0,0",1.000,2019-12-23 12:13:02.133,11:45:58,2021-01-22 16:04:32.195,2019-12-23,2989314,82
15091,1749,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 10:23:02.950,10:12:38,2021-01-22 16:04:32.195,2019-12-23,3113746,88
15095,1919,"19,029999999999998","0,0","18,86","0,0",1.000,2019-12-23 18:51:02.850,18:11:31,2021-01-22 16:04:32.195,2019-12-23,3093180,103
15297,185839,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 10:23:02.950,10:02:48,2021-01-22 16:04:32.195,2019-12-23,3113746,95
14797,104504,"3,04","1,8599999999999999","2,87","2,31",1.000,2019-12-23 22:51:02.700,22:32:54,2021-01-22 16:04:32.195,2019-12-23,3113746,93
15297,186053,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 21:31:02.760,21:20:59,2021-01-22 16:04:32.195,2019-12-23,3113746,95
14992,173333,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 21:31:02.760,20:22:30,2021-01-22 16:04:32.195,2019-12-23,3113746,97
14995,2975,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 21:31:02.760,20:15:56,2021-01-22 16:04:32.195,2019-12-23,3113746,104
14993,23015,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 21:45:02.210,20:32:26,2021-01-22 16:04:32.195,2019-12-23,3113746,99
15095,1842,"8,530000000000001","0,0","8,36","0,0",1.000,2019-12-23 13:41:02.270,13:25:54,2021-01-22 16:04:32.195,2019-12-23,2864449,103
14796,426348,"3,04","1,8599999999999999","2,87","2,31",1.000,2019-12-23 22:51:02.700,22:18:51,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14796,44436,"3,04","1,8599999999999999","2,87","2,31",1.000,2019-12-23 23:01:02.033,22:37:16,2021-01-22 16:04:32.195,2019-12-23,3113746,81
14791,136726,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:44:03,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14791,136727,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:46:25,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14802,19271,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:15:01.990,19:49:19,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19271,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:15:01.990,19:49:20,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19275,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:21:02.327,19:53:37,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19275,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:21:02.327,19:53:44,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19280,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:03:27,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19280,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:03:29,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19280,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:03:32,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19280,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:03:36,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19280,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:03:38,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19281,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:05:00,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19281,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:31:02.577,20:05:02,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19288,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:41:02.987,20:14:38,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19288,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:41:02.987,20:14:39,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19293,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:53:02.350,20:20:54,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19293,"1,05","3,85","0,88","4,3",1.000,2019-12-23 20:53:02.350,20:21:09,2021-01-22 16:04:32.195,2019-12-23,3113746,87
15090,2031,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 22:51:02.700,22:39:47,2021-01-22 16:04:32.195,2019-12-23,3113732,82
14992,173371,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 22:51:02.700,21:39:58,2021-01-22 16:04:32.195,2019-12-23,3113732,97
14997,23540,"9,030000000000001","0,0","8,86","0,0",1.000,2019-12-23 22:01:02.950,20:52:37,2021-01-22 16:04:32.195,2019-12-23,3128875,99
14796,204962,"1,05","3,85","0,88","4,3",1.000,2019-12-23 17:01:02.890,16:20:54,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14796,204967,"1,05","3,85","0,88","4,3",1.000,2019-12-23 17:01:02.890,16:39:38,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14796,204997,"1,05","3,85","0,88","4,3",1.000,2019-12-23 18:47:02.707,17:34:40,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14796,44329,"1,05","3,85","0,88","4,3",1.000,2019-12-23 19:03:04.833,18:23:14,2021-01-22 16:04:32.195,2019-12-23,3113746,81
15294,235178,"9,030000000000001","0,0","8,86","0,0",1.000,2019-12-23 22:31:01.973,22:16:07,2021-01-22 16:04:32.195,2019-12-23,3128875,95
14794,147174,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:38:14,2021-01-22 16:04:32.195,2019-12-23,3113746,81
14794,147174,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:38:19,2021-01-22 16:04:32.195,2019-12-23,3113746,81
14794,219833,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:42:08,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14794,219833,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:42:10,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14795,128568,"44,03","0,0","43,86","0,0",1.000,2019-12-23 19:45:02.913,19:02:14,2021-01-22 16:04:32.195,2019-12-23,2971814,100
14795,128568,"44,03","0,0","43,86","0,0",1.000,2019-12-23 19:45:02.913,19:02:16,2021-01-22 16:04:32.195,2019-12-23,2971814,100
14795,128568,"44,03","0,0","43,86","0,0",1.000,2019-12-23 19:45:02.913,19:02:18,2021-01-22 16:04:32.195,2019-12-23,2971814,100
14793,90201,"1,7200000000000002","3,18","1,55","3,63",1.000,2019-12-23 22:43:02.550,22:12:58,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14793,134912,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:51:12,2021-01-22 16:04:32.195,2019-12-23,3113746,98
14793,134912,"1,05","3,85","0,88","4,3",1.000,2019-12-23 22:13:02.317,21:51:13,2021-01-22 16:04:32.195,2019-12-23,3113746,98
14791,229026,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 22:51:02.700,22:34:38,2021-01-22 16:04:32.195,2019-12-23,3113746,81
14793,169723,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 22:51:02.700,22:24:45,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14792,237484,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 22:51:02.700,22:29:55,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14793,169748,"1,05","5,8500000000000005","0,88","6,300000000000001",1.000,2019-12-23 23:21:02.857,22:51:48,2021-01-22 16:04:32.195,2019-12-23,3109948,83
14993,130171,"3,63","0,0","3,46","0,0",1.000,2019-12-23 14:41:02.647,13:25:49,2021-01-22 16:04:32.195,2019-12-23,3104401,97
14991,105822,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 14:01:02.017,12:52:28,2021-01-22 16:04:32.195,2019-12-23,3108370,104
14796,205169,"2,71","2,19","2,54","2,64",1.000,2019-12-23 23:13:02.557,22:45:47,2021-01-22 16:04:32.195,2019-12-23,3113746,83
15090,1782,"2,69","2,21","2,52","2,66",1.000,2019-12-23 13:33:03.967,13:21:00,2021-01-22 16:04:32.195,2019-12-23,3113732,111
14795,76065,"3,71","2,19","3,54","2,64",1.000,2019-12-23 16:03:04.687,15:32:16,2021-01-22 16:04:32.195,2019-12-23,3118833,98
14791,136824,"3,71","2,19","3,54","2,64",1.000,2019-12-23 18:47:02.707,17:34:48,2021-01-22 16:04:32.195,2019-12-23,3118833,96
14797,104522,"1,05","5,8500000000000005","0,88","6,300000000000001",1.000,2019-12-23 23:33:03.987,23:09:03,2021-01-22 16:04:32.195,2019-12-23,3109861,93
